,Time,Sensor001,Sensor048,Sensor108,Sensor148,Sensor198,Sensor298,Sensor358,Sensor430,Sensor498,Sensor548,Sensor598,Sensor798
Position,,https://maps.app.goo.gl/4CYV3ZUQdoWPP4Yb7,https://maps.app.goo.gl/DGK4rZ3TF95rRWsc9,https://maps.app.goo.gl/x3JKKGKZXnzKFXf79,https://maps.app.goo.gl/gAXg7P4qZHNTq8Sf6,https://maps.app.goo.gl/NX43bWG1tKN3HFmU7,https://maps.app.goo.gl/5uu3skjkVdJe4aj57,https://maps.app.goo.gl/WscH97Aq6ivHXFX17,https://maps.app.goo.gl/Req4dvAMSGzdGgtb9,https://maps.app.goo.gl/6LTkebRVofVCupyE8,https://maps.app.goo.gl/XZFHj2WNANGfgR3d6,https://maps.app.goo.gl/okmWtiiWWo353Ruw7,https://maps.app.goo.gl/dxsfVZSuHRmNkZkw8
1,01/01/2015 00:00,0.0146,0.0281,0.0264,0.0216,0.0163,0.017,0.0153,0.011,0.0168,0.0192,0.0411,0.017
2,01/01/2015 01:00,0.0148,0.0383,0.0417,0.0232,0.0232,0.0186,0.0183,0.0128,0.0202,0.02,0.0736,0.0239
3,01/01/2015 02:00,0.0101,0.0284,0.037,0.0169,0.0233,0.0115,0.0132,0.008,0.0137,0.0203,0.0527,0.0159
4,01/01/2015 03:00,0.006,0.0175,0.0178,0.0107,0.0158,0.0066,0.0069,0.004,0.0096,0.0139,0.0306,0.0116
5,01/01/2015 04:00,0.0055,0.0126,0.0114,0.0078,0.0102,0.0043,0.0065,0.0023,0.0081,0.0123,0.022,0.0098
6,01/01/2015 05:00,0.0071,0.0129,0.0081,0.0089,0.0094,0.0036,0.006,0.0021,0.0091,0.0116,0.0221,0.0133
7,01/01/2015 06:00,0.0089,0.0144,0.0087,0.0138,0.0107,0.0057,0.009,0.0028,0.0114,0.0141,0.024,0.016
8,01/01/2015 07:00,0.01,0.016,0.0113,0.0153,0.0131,0.0081,0.0117,0.0049,0.0133,0.0172,0.026,0.0154
9,01/01/2015 08:00,0.0123,0.0197,0.0144,0.0199,0.0151,0.0127,0.0176,0.0074,0.0168,0.0231,0.0286,0.0179
10,01/01/2015 09:00,0.0177,0.0278,0.02,0.0322,0.0183,0.0181,0.0256,0.0115,0.0199,0.0284,0.0416,0.0255
11,01/01/2015 10:00,0.0236,0.0404,0.0283,0.0424,0.0223,0.07,0.0376,0.0174,0.0264,0.0386,0.0514,0.0341
12,01/01/2015 11:00,0.0298,0.0631,0.0395,0.0515,0.0313,0.0377,0.0474,0.0211,0.0309,0.0453,0.0635,0.0443
13,01/01/2015 12:00,0.0329,0.0653,0.0451,0.0567,0.0319,0.0443,0.0489,0.0229,0.0329,0.0488,0.0659,0.0495
14,01/01/2015 13:00,0.0335,0.0651,0.0499,0.0568,0.0317,0.0777,0.0477,0.026,0.0385,0.0496,0.0631,0.0514
15,01/01/2015 14:00,0.0361,0.0706,0.0479,0.0577,0.0294,0.0782,0.0449,0.0255,0.037,0.0492,0.0627,0.0543
16,01/01/2015 15:00,0.0325,0.0616,0.0489,0.0587,0.03,0.0416,0.0372,0.0238,0.0362,0.0451,0.0632,0.055
17,01/01/2015 16:00,0,0.0594,0.0519,0.0547,0.0311,0.0435,0,0,0.0369,0.0439,0.0627,0.0534
18,01/01/2015 17:00,0,0.0586,0.051,0.0544,0.0288,0.0431,0,0,0.0392,0.0432,0.0706,0.0616
19,01/01/2015 18:00,0,0.0556,0.0482,0.0496,0.0275,0.0426,0,0,0.0352,0.0413,0.0689,0.0499
20,01/01/2015 19:00,0,0.0516,0.0403,0.0447,0.0241,0.0294,0,0,0.0312,0.0375,0.0613,0.0426
21,01/01/2015 20:00,0,0.0468,0.0357,0.039,0.0218,0.0252,0,0,0.0275,0.0313,0.0583,0.0392
22,01/01/2015 21:00,0,0.0412,0.0303,0.0321,0.0197,0.0202,0,0,0.0234,0.0252,0.0531,0.0334
23,01/01/2015 22:00,0,0.0344,0.0259,0.0278,0.0199,0.0173,0,0,0.0189,0.0218,0.043,0.0274
24,01/01/2015 23:00,0,0.0243,0.0185,0.0171,0.0156,0.011,0,0,0.0133,0.015,0.0254,0.0168
25,02/01/2015 00:00,0,0.0148,0.0116,0.0098,0.0113,0.0065,0,7.00E-04,0.0105,0.0113,0.0172,0.0102
26,02/01/2015 01:00,0,0.0096,0.008,0.0063,0.0078,0.0039,0,7.00E-04,0.007,0.0082,0.0102,0.008
27,02/01/2015 02:00,0,0.0086,0.0072,0.005,0.0073,0.003,0,7.00E-04,0.0072,0.0069,0.0109,0.0085
28,02/01/2015 03:00,0,0.0103,0.0077,0.0059,0.0078,0.0031,0,7.00E-04,0.0092,0.0067,0.0118,0.0096
29,02/01/2015 04:00,0,0.0168,0.0125,0.0115,0.0086,0.0041,0,7.00E-04,0.0144,0.0075,0.022,0.0195
30,02/01/2015 05:00,0,0.0307,0.0277,0.0231,0.014,0.0063,0,7.00E-04,0.0259,0.0132,0.0359,0.0391
31,02/01/2015 06:00,0,0.0443,0.0388,0.0392,0.0265,0.0127,0,7.00E-04,0.0387,0.0236,0.0529,0.0519
32,02/01/2015 07:00,0,0.0471,0.0415,0.0617,0.0416,0.0237,0,7.00E-04,0.0443,0.0314,0.0644,0.0549
33,02/01/2015 08:00,0,0.0488,0.0462,0.0684,0.0488,0.0312,0,7.00E-04,0.0481,0.0338,0.0719,0.0543
34,02/01/2015 09:00,0,0.0523,0.0477,0.0703,0.0472,0.0388,0,7.00E-04,0.048,0.0393,0.0798,0.0558
35,02/01/2015 10:00,0,0.0629,0.0557,0.077,0.0487,0.0956,0,7.00E-04,0.0493,0.0471,0.0802,0.0625
36,02/01/2015 11:00,0.0485,0.0773,0.0615,0.0837,0.0504,0.064,0.0597,0.0303,0.0501,0.0532,0.0854,0.0661
37,02/01/2015 12:00,0.0489,0.0814,0.0668,0.0783,0.05,0.0667,0.0625,0.0349,0.0495,0.0572,0.0852,0.0649
38,02/01/2015 13:00,0.0483,0.0813,0.0662,0.075,0.0466,0.1305,0.0637,0.0355,0.05,0.0525,0.0837,0.0634
39,02/01/2015 14:00,0.0443,0.0968,0.0702,0.0754,0.0457,0.0864,0.0644,0.0422,0.0522,0.0503,0.0888,0.077
40,02/01/2015 15:00,0.0435,0.0775,0.0735,0.071,0.055,0.075,0.0638,0.0503,0.0576,0.0556,0.0943,0.0846
41,02/01/2015 16:00,0.0419,0.097,0.0723,0.0743,0.0503,0.0721,0.0565,0.0489,0.056,0.0521,0.0963,0.1857
42,02/01/2015 17:00,0.0443,0.0908,0.0741,0.0784,0.0496,0.0719,0.0512,0.0528,0.0573,0.0555,0.0992,0.0789
43,02/01/2015 18:00,0.0391,0.0777,0.0607,0.0678,0.0426,0.0584,0.0432,0.0394,0.0497,0.0512,0.0914,0.1679
44,02/01/2015 19:00,0.0348,0.0689,0.0524,0.0576,0.0337,0.0432,0.0352,0.0267,0.0373,0.0446,0.0763,0.0813
45,02/01/2015 20:00,0.0271,0.0583,0.0418,0.0462,0.0267,0.0339,0.0272,0.0215,0.0314,0.0358,0.0649,0.0405
46,02/01/2015 21:00,0.0243,0.0526,0.0398,0.0381,0.0264,0.0294,0.0255,0.0202,0.029,0.0309,0.0588,0.0361
47,02/01/2015 22:00,0.0208,0.0489,0.0552,0.0332,0.0217,0.0268,0.0231,0.0158,0.0232,0.026,0.0527,0.0292
48,02/01/2015 23:00,0.0133,0.0351,0.0275,0.0241,0.0174,0.0179,0.0158,0.0122,0.0169,0.0209,0.0344,0.0199
49,03/01/2015 00:00,0.0087,0.0228,0.0171,0.0144,0.0152,0.0105,0.0117,0.0074,0.0129,0.0119,0.0239,0.0129
